大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
光学生物测量仪购置项目公开招标公告,光学生物测量仪购置项目,货物/专用设备/医疗设备/医用光学仪器,北京中医药大学第三附属医院,北京市,2022年02月07日  11:02,"2022年02月07日至2022年02月14日, 每日上午:8:30 至 12:00  下午:12:00 至 16:30（北京时间，法定节假日除外）",￥500,北京市朝阳区南磨房路37号华腾北搪商务大厦1103室（鉴于疫情，通过邮件方式）,2022年03月02日  09:30,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1113室,￥95.000000万元（人民币）,王师安、蒋萧悦、鲁智慧,010-51908151,北京市朝阳区安定门外小关街51号,孙老师 010-52075255,中天信远国际招投标咨询(北京)有限公司,北京市朝阳区南磨房路37号华腾北搪商务大厦1103室,王师安、蒋萧悦、鲁智慧 010-51908151,报名登记表-光学生物测量仪购置项目--XX公司.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220207_17576214.htm,【招标公告】光学生物测量仪购置项目.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220207_17576214.htm
中国极地研究中心（中国极地研究所）2022-2024年中心保洁服务项目公开招标公告,2022-2024年中心保洁服务项目,服务/房地产服务/物业管理服务,中国极地研究中心（中国极地研究所）,上海市,2022年01月30日  11:27,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 11:30  下午:13:00 至 15:30（北京时间，法定节假日除外）",￥600,上海市浦东新区商城路618号良友大厦8楼,2022年02月22日  10:00,上海市浦东新区商城路618号良友大厦8楼会议室,￥108.000000万元（人民币）, 王志坚,021-58792595,上海市浦东新区曹路镇雪龙路1000号,邵申，021- 58718663,上海浦成机电设备招标有限公司,上海浦东新区商城路618号良友大厦8楼,王志坚，021-58792595,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572663.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572663.htm
国家工业信息安全发展研究中心通用网络与安全设备采购项目招标公告,国家工业信息安全发展研究中心通用网络与安全设备采购项目,,国家工业信息安全发展研究中心(工业和信息化部电子第一研究所),市辖区,2022年01月30日  13:56,"2022年01月25日至2022年02月20日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月21日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥506.850000万元（人民币）,刘士伟,010-55602803,北京市石景山区鲁谷路35号,18810435475,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572990.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572990.htm
2022-2024年护航保障船租赁与服务公开招标公告,2022-2024年护航保障船租赁与服务,服务/租赁服务（不带操作员）/其他租赁服务,广州海洋地质调查局,广州市,2022年01月30日  11:37,"2022年01月30日至2022年02月16日, 每日上午:9:00 至 12:00  下午:14:30 至 17:30（北京时间，法定节假日除外）",￥300,广州市环市东路472号粤海大厦7楼,2022年02月21日  14:30,广州市环市东路472号粤海大厦7楼会议室,￥324.000000万元（人民币）,陈女士,020-87651688-132/164,广州市环市东路477号,许先生 020-87601451,采联国际招标采购集团有限公司,广州市环市东路472号粤海大厦7、23楼,陈女士 020-87651688-132/164,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572694.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572694.htm
中国极地研究中心（中国极地研究所）2022-2024年中心保安服务项目公开招标公告,2022-2024年中心保安服务项目,服务/房地产服务/物业管理服务,中国极地研究中心（中国极地研究所）,上海市,2022年01月30日  11:28,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 11:30  下午:13:00 至 15:00（北京时间，法定节假日除外）",￥600,上海市浦东新区商城路618号良友大厦8楼,2022年02月22日  10:00,上海市浦东新区商城路618号良友大厦8楼会议室,￥198.000000万元（人民币）,王志坚,021-58792595,上海市浦东新区曹路镇雪龙路1000号,邵申，021- 58718663,上海浦成机电设备招标有限公司,上海浦东新区商城路618号良友大厦8楼,王志坚，021-58792595,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572662.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572662.htm
河北区消防救援支队通信指挥车项目公开招标公告,河北区消防救援支队通信指挥车项目,货物/通用设备/车辆/专用车辆/通讯指挥车,河北区消防救援支队,天津市,2022年01月30日  14:16,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥0,天津市政府采购中心网,2022年02月21日  08:30,天津市政府采购中心网,￥86.028000万元（人民币）,丁亚天,022-24538319,天津市河北区革新道与重光路交口,杨帆  022-26365813,天津市政府采购中心,天津市河东区红星路79号二楼（邮编：300161）,丁亚天  022-24538319,招标文件（TGPC-2021-A-0413）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573038.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573038.htm
中国人民解放军某部队招待所后厨设备采购（二次）公开招标公告,招待所后厨设备采购（二次）,"货物/其他货物/其他不另分类的物品,货物/专用设备/食品加工专用设备/饮食炊事机械",中国人民解放军某部队,北京市,2022年01月30日  12:42,"2022年02月07日至2022年02月11日, 每日上午:10:00 至 12:00  下午:14:00 至 16:00（北京时间，法定节假日除外）",￥500,线上领取,2022年02月28日  09:30,北京市丰台区南四环西路128号诺德中心2号楼5层会议室,￥90.802200万元（人民币）,刘工,17710838084,/,/,北京中一鼎合工程管理有限公司,北京市丰台区南四环西路128号诺德中心2号楼5层,刘工，17710838084,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572852.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572852.htm
中国科学院国家天文台FAST索网主索备品备件采购项目公开招标公告,FAST索网主索备品备件采购项目,货物/其他货物/其他不另分类的物品,中国科学院国家天文台,北京市,2022年01月30日  13:57,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥300,网上购买标书，具体详见特别告知,2022年02月24日  09:30,北京市海淀区学院南路62号中关村资本大厦6层会议室,￥427.042935万元（人民币）,王胜杰,010-61954003,北京市朝阳区大屯路甲20号,宋立强；13141009912,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦6层602B,王胜杰；61954003，18210766939,第五章  任务书.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573046.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573046.htm
浙江大学紫金港西区机械大楼行政办公室家具公开招标公告,紫金港西区机械大楼行政办公室家具,货物/家具用具/其他家具用具,浙江大学,浙江省,2022年01月30日  14:20,"2022年01月30日至2022年02月11日, 每日上午:8:30 至 11:30  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,浙江求是招标代理有限公司（杭州市西湖区玉古路173号中田大厦11楼）,2022年02月22日  13:30,杭州市西湖区玉古路173号中田大厦16楼求是招标6号会议室,￥210.999900万元（人民币）,陈宵,0571-87666119,杭州市西湖区玉古路38号,盛媛，0571-87951181,浙江求是招标代理有限公司,杭州市西湖区玉古路173号中田大厦11楼,陈宵、王娜，0571-87666119,A22033(GK) 浙江大学 紫金港西区机械大楼行政办公室家具 公告.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573105.htm,A22033(GK) 浙江大学 紫金港西区机械大楼行政办公室家具 需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573105.htm
中国国际贸易促进委员会企业跨境贸易投资法律综合支援平台（贸法通）建设项目（二期）公开招标公告,中国国际贸易促进委员会企业跨境贸易投资法律综合支援平台（贸法通）建设项目（二期）,"服务/信息技术服务/运行维护服务/软件运维服务,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,货物/通用设备/计算机设备及软件/计算机软件/应用软件/行业应用软件",中国贸促会,北京市,2022年01月30日  13:59,"2022年02月07日至2022年02月11日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,北京市海淀区西直门北大街甲43号金运大厦B座1103室（西直门文慧桥西南角）。注：受疫情影响，为减少人员聚集，只接受邮件报名的方式,2022年02月28日  09:30,北京市海淀区西直门北大街甲43号金运大厦B座1103会议室。,￥147.800000万元（人民币）,刘上、董子硕、王香云,010-62278948-624/601/638,北京市西城区复兴门外大街1号,陈亦琳，010-88075525,北京华盛中天咨询有限责任公司,北京市海淀区西直门北大街甲43号金运大厦B座1103室（西直门文慧桥西南角）,刘上、董子硕、王香云，010-62278948-624/601/638,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573051.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573051.htm
